name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
Alabama A & M University,9857,18236,0.902671312,929
University of Alabama at Birmingham,8328,19032,0.918067505,1195
Amridge University,6900,6900,NULL,NULL
University of Alabama in Huntsville,10280,21480,0.812303547,1322
Alabama State University,11068,19396,0.97866121,935
The University of Alabama,10780,28100,0.53295392,1278
Central Alabama Community College,4440,8010,NULL,NULL
Athens State University,NULL,NULL,NULL,NULL
Auburn University at Montgomery,8020,17140,0.825383994,1083
Auburn University,10968,29640,0.839309429,1282
Birmingham Southern College,35804,35804,0.618601016,1231
Chattahoochee Valley Community College,4314,7884,NULL,NULL
Concordia College Alabama,10320,10320,NULL,NULL
South University-Montgomery,17014,17014,NULL,NULL
Enterprise State Community College,4440,8010,NULL,NULL
Coastal Alabama Community College,4380,7890,NULL,NULL
Faulkner University,20970,20970,0.51006424,1031
Gadsden State Community College,3600,6456,NULL,NULL
New Beginning College of Cosmetology,NULL,NULL,NULL,NULL
George C Wallace Community College-Dothan,4380,7950,NULL,NULL
George C Wallace State Community College-Hanceville,3726,6582,NULL,NULL
George C Wallace State Community College-Selma,4140,7710,NULL,NULL
Herzing University-Birmingham,13850,13850,0.79408284,NULL
Huntingdon College,26400,26400,0.55978785,1085
Heritage Christian University,11232,11232,1,1030
J. F. Drake State Community and Technical College,4410,7980,NULL,NULL
J F Ingram State Technical College,4968,4968,NULL,NULL
Jacksonville State University,8166,15582,0.540216486,1121
Jefferson Davis Community College,4088,7598,NULL,NULL
Jefferson State Community College,4500,8070,NULL,NULL
John C Calhoun State Community College,4520,8090,NULL,NULL
Judson College,17896,17896,0.507042254,1085
Lawson State Community College,4440,8010,NULL,NULL
University of West Alabama,9204,16818,0.282079047,1041
Lurleen B Wallace Community College,4440,8010,NULL,NULL
Marion Military Institute,9418,15418,0.558685446,1138
Miles College,11794,11794,NULL,NULL
University of Mobile,22210,22210,0.47019424,1113
University of Montevallo,12400,25030,0.644547325,1143
Northwest-Shoals Community College,4411,7921,NULL,NULL
University of North Alabama,8480,15128,0.702191988,1104
Northeast Alabama Community College,4440,8010,NULL,NULL
Oakwood University,16720,16720,0.470683381,1005
Alabama Southern Community College,4380,7890,NULL,NULL
Reid State Technical College,4500,8070,NULL,NULL
Bishop State Community College,4440,8010,NULL,NULL
Samford University,30490,30490,0.831932773,1230
Selma University,7115,7115,NULL,NULL
Shelton State Community College,4189,7759,NULL,NULL
Snead State Community College,4500,8070,NULL,NULL
University of South Alabama,7812,15324,0.820786707,1142
Spring Hill College,37584,37584,0.456811798,1156
Stillman College,10792,10792,0.481163381,NULL
Talladega College,12340,12340,NULL,NULL
H Councill Trenholm State Community College,4350,7920,NULL,NULL
Troy University,8692,16276,0.881227094,1085
Tuskegee University,22170,22170,0.503193431,1036
United States Sports Academy,NULL,NULL,NULL,NULL
Bevill State Community College,4766,8574,NULL,NULL
University of Alaska Anchorage,6690,19494,0.828310011,NULL
Alaska Bible College,9350,9350,NULL,NULL
University of Alaska Fairbanks,6262,19183,0.767014102,1094
University of Alaska Southeast,6828,19533,0.710467706,NULL
Alaska Pacific University,20760,20760,0.86,NULL
AVTEC-Alaska's Institute of Technology,NULL,NULL,NULL,NULL
Charter College,21908,21908,NULL,NULL
Alaska Career College,NULL,NULL,NULL,NULL
Empire Beauty School-Tucson,NULL,NULL,NULL,NULL
Thunderbird School of Global Management,NULL,NULL,0.778069173,1219
American Institute of Trucking,NULL,NULL,NULL,NULL
Carrington College-Phoenix North,NULL,NULL,0.525612472,NULL
Carrington College-Mesa,NULL,NULL,0.525612472,NULL
Carrington College-Tucson,NULL,NULL,0.525612472,NULL
CollegeAmerica-Flagstaff,16968,16968,NULL,NULL
Arizona Academy of Beauty-East,NULL,NULL,NULL,NULL
Platt College-Arizona Automotive Institute Arizona,NULL,NULL,NULL,NULL
Brookline College-Phoenix,NULL,NULL,NULL,NULL
Arizona State University-Tempe,10792,27372,0.778069173,1219
Arizona Western College,2660,9650,NULL,NULL
University of Arizona,11877,35307,0.835783147,NULL
Southwest University of Visual Arts-Tucson,23044,23044,NULL,NULL
Central Arizona College,2580,11100,NULL,NULL
Charles of Italy Beauty College,NULL,NULL,NULL,NULL
Cochise County Community College District,1968,6240,NULL,NULL
Empire Beauty School-Flagstaff,NULL,NULL,NULL,NULL
Empire Beauty School-Chandler,NULL,NULL,NULL,NULL
Cortiva Institute-Tucson,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Mesa,NULL,NULL,NULL,NULL
Eastern Arizona College,2550,11250,NULL,NULL
Embry-Riddle Aeronautical University-Prescott,34662,34662,0.737117347,1217
School of Architecture at Taliesin,NULL,NULL,NULL,NULL
Glendale Community College,2094,7878,NULL,NULL
Grand Canyon University,17050,17050,0.66921244,NULL
GateWay Community College,2094,7878,NULL,NULL
Mesa Community College,2094,7878,NULL,NULL
Mohave Community College,2112,6972,NULL,NULL
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NULL,NULL,NULL,NULL
Dine College,1410,1410,NULL,NULL
Northern Arizona University,11059,24841,0.808461017,NULL
Northland Pioneer College,1808,8360,NULL,NULL
Ottawa University-Phoenix,NULL,NULL,0.804504505,1027
Phoenix College,2094,7878,NULL,NULL
Cortiva Institute-Scottsdale,NULL,NULL,NULL,NULL
Pima Community College,2118,7434,NULL,NULL
Pima Medical Institute-Tucson,NULL,NULL,NULL,NULL
Pima Medical Institute-Albuquerque,NULL,NULL,NULL,NULL
Prescott College,30501,30501,0.952618454,1132
Refrigeration School Inc,NULL,NULL,NULL,NULL
Rio Salado College,2094,7878,NULL,NULL
Roberto-Venn School of Luthiery,NULL,NULL,NULL,NULL
Hair Academy of Safford,NULL,NULL,NULL,NULL
Scottsdale Community College,2094,7878,NULL,NULL
South Mountain Community College,2094,7878,NULL,NULL
Arizona Christian University,24958,24958,0.644407346,956
Universal Technical Institute of Arizona Inc,NULL,NULL,NULL,NULL
Western International University,6000,6000,NULL,NULL
Empire Beauty School-NW Phoenix,NULL,NULL,NULL,NULL
Yavapai College,2280,8976,NULL,NULL
University of Arkansas at Little Rock,8998,21208,0.746325273,1105
